cat1,cat2,cat3,cat4,cat5,year
5,2,4,0,0,1851-1855
3,3,1,1,0,1856-1860
3,2,0,0,0,1861-1865
5,4,1,0,0,1866-1870
3,1,3,0,0,1871-1875
4,5,4,0,0,1876-1880
1,4,2,0,0,1881-1885
7,5,2,1,0,1886-1890
4,2,3,1,0,1891-1895
4,3,2,2,0,1896-1900
6,0,0,0,0,1901-1905
4,4,4,0,0,1906-1910
6,2,0,2,0,1911-1915
3,2,5,1,0,1916-1920
3,1,1,0,0,1921-1925
1,2,2,2,0,1926-1930
1,4,4,1,1,1931-1935
3,3,2,0,0,1936-1940
3,3,5,0,0,1941-1945
5,3,4,1,0,1946-1950
5,0,4,1,0,1951-1955
3,1,1,2,0,1956-1960
1,3,2,1,0,1961-1965
2,2,2,0,1,1966-1970
3,1,2,0,0,1971-1975
3,1,2,0,0,1976-1980
3,1,4,0,0,1981-1985
6,0,0,1,0,1986-1990
0,2,2,0,1,1991-1995
3,4,2,0,0,1996-2000
5,2,6,1,0,2001-2005
2,2,0,0,0,2006-2010
3,1,0,0,0,2011-2015
2,0,0,0,0,2016
