year,cat1,cat2,cat3,cat4,cat5
1851,1,0,1,0,0
1852,2,1,1,0,0
1853,1,0,0,0,0
1854,1,1,1,0,0
1855,0,0,1,0,0
1856,0,1,0,1,0
1857,1,0,0,0,0
1858,1,0,0,0,0
1859,1,0,0,0,0
1860,0,2,1,0,0
1861,3,0,0,0,0
1862,0,0,0,0,0
1863,0,0,0,0,0
1864,0,0,0,0,0
1865,0,2,0,0,0
1866,0,1,0,0,0
1867,1,1,0,0,0
1868,0,0,0,0,0
1869,1,2,1,0,0
1870,3,0,0,0,0
1871,1,1,1,0,0
1872,0,0,0,0,0
1873,1,0,1,0,0
1874,1,0,0,0,0
1875,0,0,1,0,0
1876,1,1,0,0,0
1877,1,0,1,0,0
1878,0,2,0,0,0
1879,0,1,2,0,0
1880,2,1,1,0,0
1881,0,2,0,0,0
1882,1,1,1,0,0
1883,0,1,0,0,0
1884,0,0,0,0,0
1885,0,0,1,0,0
1886,2,3,1,1,0
1887,3,1,0,0,0
1888,1,1,1,0,0
1889,1,0,0,0,0
1890,0,0,0,0,0
1891,2,0,0,0,0
1892,0,0,0,0,0
1893,1,1,2,1,0
1894,0,1,1,0,0
1895,1,0,0,0,0
1896,1,1,1,0,0
1897,1,0,0,0,0
1898,2,0,0,1,0
1899,0,2,1,0,0
1900,0,0,0,1,0
1901,2,0,0,0,0
1902,0,0,0,0,0
1903,2,0,0,0,0
1904,2,0,0,0,0
1905,0,0,0,0,0
1906,2,1,1,0,0
1907,0,0,0,0,0
1908,1,0,0,0,0
1909,1,1,3,0,0
1910,0,2,0,0,0
1911,1,1,0,0,0
1912,1,1,0,0,0
1913,3,0,0,0,0
1914,0,0,0,0,0
1915,1,0,0,2,0
1916,2,1,2,0,0
1917,0,0,1,0,0
1918,0,0,2,0,0
1919,0,0,0,1,0
1920,1,1,0,0,0
1921,0,1,1,0,0
1922,0,0,0,0,0
1923,1,0,0,0,0
1924,2,0,0,0,0
1925,0,0,0,0,0
1926,0,1,1,1,0
1927,0,0,0,0,0
1928,0,1,0,1,0
1929,1,0,1,0,0
1930,0,0,0,0,0
1931,0,0,0,0,0
1932,1,0,0,1,0
1933,0,2,3,0,0
1934,0,1,1,0,0
1935,0,1,0,0,1
1936,1,1,1,0,0
1937,0,0,0,0,0
1938,1,0,1,0,0
1939,1,0,0,0,0
1940,0,2,0,0,0
1941,0,1,1,0,0
1942,1,0,1,0,0
1943,0,1,0,0,0
1944,1,0,2,0,0
1945,1,1,1,0,0
1946,1,0,0,0,0
1947,1,1,0,1,0
1948,1,1,1,0,0
1949,1,1,1,0,0
1950,1,0,2,0,0
1951,0,0,0,0,0
1952,1,0,0,0,0
1953,3,0,0,0,0
1954,0,0,2,1,0
1955,1,0,2,0,0
1956,0,1,0,0,0
1957,0,0,0,1,0
1958,0,0,0,0,0
1959,2,0,1,0,0
1960,1,0,0,1,0
1961,0,0,0,1,0
1962,0,0,0,0,0
1963,1,0,0,0,0
1964,0,3,1,0,0
1965,0,0,1,0,0
1966,1,1,0,0,0
1967,0,0,1,0,0
1968,0,1,0,0,0
1969,1,0,0,0,1
1970,0,0,1,0,0
1971,2,1,0,0,0
1972,1,0,0,0,0
1973,0,0,0,0,0
1974,0,0,1,0,0
1975,0,0,1,0,0
1976,1,0,0,0,0
1977,1,0,0,0,0
1978,0,0,0,0,0
1979,1,1,1,0,0
1980,0,0,1,0,0
1981,0,0,0,0,0
1982,0,0,0,0,0
1983,0,0,1,0,0
1984,0,0,1,0,0
1985,3,1,2,0,0
1986,2,0,0,0,0
1987,1,0,0,0,0
1988,1,0,0,0,0
1989,2,0,0,1,0
1990,0,0,0,0,0
1991,0,1,0,0,0
1992,0,0,0,0,1
1993,0,0,1,0,0
1994,0,0,0,0,0
1995,0,1,1,0,0
1996,0,1,1,0,0
1997,1,0,0,0,0
1998,1,2,0,0,0
1999,1,1,1,0,0
2000,0,0,0,0,0
2001,0,0,0,0,0
2002,1,0,0,0,0
2003,1,1,0,0,0
2004,2,1,2,1,0
2005,1,0,4,0,0
2006,0,0,0,0,0
2007,1,0,0,0,0
2008,1,2,0,0,0
2009,0,0,0,0,0
2010,0,0,0,0,0
2011,1,0,0,0,0
2012,2,0,0,0,0
2013,0,0,0,0,0
2014,0,1,0,0,0
2015,0,0,0,0,0
2016,2,0,0,0,0
